开标时间,开标地点,项目名称,政府采购计划编号,项目负责人,联系电话,采购方式,采购预算,投标截止时间,采购地址,采购代理地址,采购联系人,采购代理联系人,采购电话,采购代理电话
2020年04月13日 09:00,衡阳市公共资源交易中心 （衡阳市衡州大道湘桂村蒸德大厦）二楼 6号开标室,产业园组培车间仪器设备重新立项,湘财采计[2019]012160号,翟娟,0734-8193575,公开招标,"419,955元",2020年04月13日 09:00,湖南省衡阳市石鼓区望城路165号,衡阳市华新开发区延安路20号都市春天B栋1304室,汤迪娟 ,翟娟 ,07348591255,0734-8193575 
2020年04月14日 09:00,长沙市雨花区万家丽路二段29号（天际岭隧道南湖南省公共资源交易中心，详见当天电子显示屏）。,长沙理工大学2020年教学科研设备购置（第二批）,湘财采计[2020]000044号,王明秋,0731-84284413,公开招标,"4,854,700元",2020年04月14日 09:00,湖南省长沙市万家丽南路,长沙市晚报大道湘诚时速风标501室/怡程大酒店旁,刘老师 ,王明秋 ,0731-85258555,0731-84284413、84284403 
2020年04月10日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,刑事案件涉案视频研判平台,湘财采计[2019]012278号,左丽,17708436343,公开招标,"2,777,800元",2020年04月10日 09:00,长沙市芙蓉区八一路110号,湖南省长沙市芙蓉区车站北路459号(烈士公园东门南侧)湖南证券大厦六层,谭哲 ,左丽、杨剑 ,15388996328,0731-82038189 
2020年04月09日 09:00,湖南省公共资源交易中心,共青团湖南省委园区物业管理,湘财采计[2020]000021号,陈力,13135218800,公开招标,4578000元,2020年04月09日 09:00,长沙市天心区湘府西路1号湖南省青少年活动中心,长沙市雨花区万家丽路二段29号,陈力 ,李春林,13135218800 ,89665210 
2020年04月09日 09:30,益阳市公共资源交易中心开标室益阳高新区中南电子商务园3号楼二楼，迎宾东路355号）。,桃江县人民法院智慧诉讼服务中心项目,湘财采计[2019]015055号,帅开顺,15080740271,公开招标,"1,437,640元",2020年04月09日 09:30,湖南省益阳市桃江县308省道凯邦华通城东侧500米 ,长沙市雨花区湘府东路二段200号华坤时代第1幢17层1707号,傅新兵 ,帅开顺 ,13549738009,15080740271 
2020年04月10日 09:00,湖南省公共资源交易中心，长沙市雨花区万家丽南路二段29号（天际岭隧道南湖南省价格信息中心）,湖南理工学院实验实训中心中央空调采购项目重新立项,湘财采计[2019]017183号,罗成,0731-85135397,公开招标,"13,828,406.93元",2020年04月10日 09:00,湖南省岳阳市湖南理工学院,长沙市雨花区湘府东路二段308号华盛世纪新城25栋2楼201房,蔡老师、李老师 ,罗先生  朱女士 ,0730-8640906,0731-85135397 
2020年04月08日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）13开标室，详见当天电子显示屏。,教育大平台在线服务能力及微信直播建设,湘财采计[2020]000118号,陈耀家、王辉, 0731-82293871,公开招标,"1,200,000元",2020年04月08日 10:00,长沙市雨花亭新建西路77号,长沙市雨花区迎新路御溪国际3栋2440,肖玮 ,陈耀家、王辉 ,0731-82207750,0731-82293871 
2020年04月07日 14:30,湘潭市交易中心,湘潭大学研究生院教学设备采购,湘财采计[2020]000151号,肖伟能,15197298300,公开招标,"5,152,500元",2020年04月07日 14:30,湘潭雨湖区羊沽塘,湘潭市高新区芙蓉路66号金侨尚东区4单元1704006号,周老师 ,肖先生 ,58292065,0731-58292065 
2020年04月08日 09:00,湖南省公共资源交易中心,2020年小反刍兽疫活疫苗采购,湘财采计[2020]000082号,谭运华,85518938,公开招标,2540000元,2020年04月08日 09:00,湖南省长沙市岳麓区潇湘中路61号,长沙市雨花区万家丽路二段29号,谭运华 ,欧益清,85518938 ,89665210 
2020年04月07日 09:00,湖南省公共资源交易中心,物业托管服务,湘财采计[2020]017378号,卢老师,84083628,公开招标,1348000元,2020年04月07日 09:00,湖南省长沙县经开区新安路22号,长沙市雨花区万家丽路二段29号,卢老师 ,欧益清,84083628 ,89665210 
2020年04月08日 09:00,湖南省公共资源交易中心,物业管理服务,湘财采计[2020]000026号,长沙师范学院,84036160,公开招标,21510000元,2020年04月08日 09:00,长沙师范学院,长沙市雨花区万家丽路二段29号,长沙师范学院 ,欧益清,84036160 ,89665210 
2020年04月08日 10:00,怀化市公共资源交易中心相应标室,湖南医药学院智慧校园一期建设安防项目重新立项,湘财采计[2020]017388号,易慧娟,0745-2211940,公开招标,"2,321,685元",2020年04月08日 10:00,怀化市锦溪南路492号,长沙市开福区芙蓉北路街道金泰路199号湘江世纪城富湾国际5栋802房,沈磊 ,刘纪程 ,2385117,18692249866 
2020年04月03日 09:00,湖南省公共资源交易中心(地址,清新园项目信息化采购,湘财采计[2020]000143号,聂艳君,13637498328,公开招标,"40,322,403.89元",2020年04月03日 09:00,湖南省长沙市友谊路528号,长沙市雨花区湘府中路117号高升金典商务楼房12层,朱先生、刘星星 ,聂艳君、周异、粟智超 ,0731-88601687、13907312706,0731-84169657 
2020年04月03日 09:30,郴州市市民服务中心4楼市公共资源交易中心第 2 开标室,郴州市中级人民法院审判法庭扩建工程（一期）中央空调多联机主机（第三次）,湘财采计[2020]000048号,陈女士 黄女士,18107355388,公开招标,"2,212,935.31元",2020年04月03日 09:30,郴州市北湖区五岭大道31号, 燕泉路鑫沙苑2栋一单元202-203室,何主任 ,陈女士 黄女士 ,0735-2178837,18107355388 13487861315 0735-8881558 
2020年04月03日 10:00,湖南省公共资源交易中心（长沙市雨花区万家丽路二段29号，天际岭隧道南），具体标室请看当天显示屏,2020年省质检院检验检测能力提升,湘财采计[2020]000094号,朱玄,15074977677,公开招标,"9,988,200元",2020年04月03日 10:00,长沙市新建西路189号,长沙市芙蓉区马王堆街道晚报大道267号长沙晚报报业集团办公楼19楼1901,邹若红 ,朱玄、李志强、汪冶 ,0731-89775219,0731-85573555 
2020年04月03日 09:00,湖南省公共资源交易中心,教学电脑采购,湘财采计[2020]000032号,刘军玉,07374110995,公开招标,1652850元,2020年04月03日 09:00,益阳市赫山区栖霞路135号,长沙市雨花区万家丽路二段29号,刘军玉 ,李中华,07374110995 ,89665046 
2020年04月01日 09:00,湘潭市公共资源交易中心开标室,湘潭大学高性能储能材料制备研发和化学院科研设备采购,湘财采计[2020]000059号,唐女士,073158390160,公开招标,"1,035,259元",2020年04月01日 09:00,中国湖南湘潭雨湖区羊沽塘,湘潭市高新区芙蓉路66号金侨尚东区4单元1704006号,周老师 ,肖伟能 ,58292065,0731-58390160 
2020年04月01日 13:30,衡阳市公共资源交易中心二楼8号开标室,南华大学化学化工学院天然锕系元素研究与应用创新团队设备购置,湘财采计[2020]000061号,张建怀,13786443020,公开招标,"1,626,000元",供应商必须登录衡阳市公共资源交易网，须在报名截止时间前报名确认并成功下载招标文件（以投标截止时间止衡阳市公共资源交易网查询显示的下载文件单位为准），否则，视同报名不成功，其投标无效。,衡阳市常胜西路28号,衡阳市高新技术开发区芙蓉路58号愉景南苑11栋写字楼科创智谷3008室,陈老师  杨老师 ,张建怀 ,0734-8281905,0734-8439857 
2020年04月02日 10:00,登录湖南省公共资源交易服务平台(http://www. hnsggzy.com/)或登录财政部门指定媒体湖南省政府采购网(www.ccgp-hunan.gov.cn)进行下载。,2020年省质检院检验检测能力提升,湘财采计[2020]000096号,蔡伟,0731-82587018,公开招标,"10,139,000元",2020年04月02日 10:00,长沙市新建西路189号,湖南省长沙市芙蓉区解放中路18号华侨大厦19楼H 座,邹若红 ,蔡伟、李丹 ,0731-89775219,0731-82587018 
2020年04月01日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）。,湖南省政府网站集约化建设系列地方标准研究,湘财采计[2020]000086号,伍先生、余小姐,0731-85560392,公开招标,"750,000元",2020年04月01日 09:00,湖南省长沙市五一大道351号省人民政府机关二院6办公楼,长沙市雨花区劳动东路295号盘龙山酒店（嘉盛店）4楼,周女士 ,伍先生、余女士 ,0731-82212160,0731-85560392 
2020年03月31日 10:00,长沙市雨花区万家丽路二段29号湖南省价格信息市场（湖南省公共资源交易中心）,湖南省消防救援总队在职国家消防员雇主责任险采购项目,湘财采计[2020]000064号,倪超,85177561,公开招标,"2,619,396元",2020年03月31日 10:00,湖南省长沙市岳麓区枫林三路151号,湖南省长沙市蔡锷南路天辰腾达商务大厦,熊会明 ,倪  超  彭  驰  周  敏 ,0731-88119732,0731-85177561/2 
2020年04月01日 09:00,长沙市雨花区万家丽路二段29号（天际岭隧道南湖南省公共资源交易中心，详见当天电子显示屏）。,湖南医药学院中财及双一流设备流标重采重新立项,湘财采计[2019]017299号,王明秋、唐捷杰,0731-84284413,公开招标,"1,519,090元",2020年04月01日 09:00,怀化市,长沙市晚报大道湘诚时速风标501室/怡程大酒店旁,沈磊 ,王明秋、唐捷杰 ,2385117,0731-84284413、84284403 
2020年04月01日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）,2020年省质检院检验检测能力提升,湘财采计[2020]000095号,杨录贞,84126198,公开招标,"10,933,000元",2020年04月01日 09:00,长沙市新建西路189号,长沙市开福区芙蓉中路（湖南财富中心富座2903房）,邹若红 ,杨录贞 ,0731-89775219  ,84126198 
2020年03月31日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）,2020年湖南省质检院检验检测能力提升项目,湘财采计[2020]000093号,王帅,0731-85404616,公开招标,"10,043,900元",2020年03月31日 09:00,长沙市新建西路189号,长沙市开福区新河街道晴岚路68号北辰凤凰天阶苑B1E1区10025房,邹若红 ,王帅 ,0731-89775219,0731-85404616 
2020年03月31日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）。,全省大数据水环境联网及预警预报综合管理平台采购项目,湘财采计[2020]000098号,李峰,13080535682,公开招标,"9,860,000元",2020年03月31日 10:00,长沙市万家丽路3段118号,长沙市万家丽北路星雅美辰1号栋（山东商会大厦）8楼,荣兴 ,李峰 ,0731-82592358,0731-86969178 
2020年03月31日 09:00,株洲市公共资源交易中心六楼开标室[地址,湖南工业大学交通学院检测与传动实验室设备一批（第二次）,湘财采计[2019]016541号,黄俊宁,0731-28781558,公开招标,"922,000元",2020年03月31日 09:00,湖南省株洲市天元区泰山路88号,长沙市雨花区金海路128号领智工业园第A6栋101房,肖老师 ,黄先生 ,0731-22183169,0731-28781558 
2020年03月30日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）,湖南省政务服务中心信息化项目监理,湘财采计[2020]000074号,刘萍萍,0731-89791108,公开招标,"381,600元",2020年03月30日 10:00,长沙市五一大道351号省政府机关2院,长沙市劳动东路289号嘉盛华庭EA财智中心4楼,周婧 ,刘萍萍 ,0731-82212160,15507310605 
2020年03月27日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）。,云计算大数据基础平台,湘财采计[2020]000097号,刘莎,0731-82204733,公开招标,"20,170,000元",2020年03月27日 09:00,湖南省长沙市芙蓉区八一路110号,长沙市芙蓉中路二段144号城市之心7楼718室,周威 ,刘莎 ,84597083,0731-82204733 
2020年03月30日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）。,湖南省长沙航道管理局部分非核心外包服务,湘财采计[2020]000056号,刘莎,0731-82204733,公开招标,"2,522,500元",2020年03月30日 09:00,长沙市天心区友谊路528号,长沙市芙蓉中路二段144号城市之心7楼718室,贺海燕 ,刘莎 ,0731-85823236,0731-82204733 
2020年03月27日 09:30,益阳市公共资源交易中心（湖南省益阳市迎宾东路355号）,建教学设备及软件采购,湘财采计[2020]000075号,张志鹏,15111000343,公开招标,"1,959,600元",2020年03月27日 09:30,益阳市赫山区栖霞路135号 ,长沙市雨花区万家丽中路一段469号华雅财富大厦9楼906室,刘军玉 ,梁昌华 ,07374110995,18627548861 
2020年03月27日 09:00,衡阳市公共资源交易中心二楼3号开标室,南华大学资环安学院矿业工程学科研设备项目,湘财采计[2020]000063号,毛彩霞,0734-8187388,公开招标,"2,052,000元",请在衡阳市公共资源交易网注册并报名，须在报名截止时间前报名确认并成功下载招标文件（以投标截止时间止衡阳市公共资源交易网查询显示的下载文件单位为准），否则，视同报名不成功，其投标无效。,衡阳市常胜西路28号,衡阳市华新开发区长丰大道28号汇景花园2栋1单元1306室,杨老师 陈老师 ,毛彩霞 ,0734-8281905,0734-8187388 
2020年03月27日 09:00,湖南省公共资源交易中心,2020、2021年校园物业管理服务,湘财采计[2020]000001号,陈志强,073158683362,公开招标,7645000元,2020年03月27日 09:00,湖南省湘潭市岳塘区福星东路88号,长沙市雨花区万家丽路二段29号,陈志强 ,欧益清,073158683362 ,89665210 
2020年03月26日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,湖南省政务服务中心信息化项目,湘财采计[2020]000073号, 蒋婷,0731-85058982,公开招标,"22,143,400元",2020年03月26日 10:00,湖南省长沙市五一大道351号省人民政府机关二院6办公楼,长沙市岳麓区潇湘南路1段208号柏宁地王广场南栋1212室,周婧 ,蒋婷 ,0731-82212160,0731-85058982 
2020年03月25日 13:30,衡阳市公共资源交易中心二楼1号开标室,南华大学资环安学院大功率微波能发生器与土壤高温烧结设设备购置重新立项,湘财采计[2019]016900号,陈寿斌,0734-8187388,公开招标,"860,000元",请在衡阳市公共资源交易网注册并报名，须在报名截止时间前报名确认并成功下载招标文件（以投标截止时间止衡阳市公共资源交易网查询显示的下载文件单位为准），否则，视同报名不成功，其投标无效。,衡阳市常胜西路28号,衡阳市华新开发区长丰大道28号汇景花园2栋1单元1306室,王老师 陈老师 ,毛彩霞 ,0734-8281905,0734-8187388 
2020年03月24日 09:00,株洲市公共资源交易中心六楼开标室（地址,湖南工业大学2020年度耗材采购,湘财采计[2020]000023号,刘巧燕,13974150055,公开招标,"1,549,301.17元",2020年03月24日 09:00,湖南省株洲市天元区泰山西路88号,株洲市天元区庐山路中信庐山一号公寓楼5楼512室,曹格瑞 ,刘巧燕 ,22183169,28282776 
2020年03月24日 09:00,衡阳市公共资源交易中心二楼3号开标室,南华大学电气工程学院半导体器件分析仪购置项目,湘财采计[2020]000060号,毛彩霞,0734-8381788,公开招标,"770,000元",请在衡阳市公共资源交易网注册并报名，须在报名截止时间前报名确认并成功下载招标文件（以投标截止时间止衡阳市公共资源交易网查询显示的下载文件单位为准），否则，视同报名不成功，其投标无效。,衡阳市常胜西路28号,衡阳市华新开发区长丰大道28号汇景花园2栋1单元1306室,王老师 陈老师 ,毛彩霞 ,0734-8281905,0734-8187388 
2020年03月19日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）。,湖南省农业农村厅项目申报审批监管系统平台建设,湘财采计[2020]000072号,刘莎,0731-82204733,公开招标,"6,800,000元",2020年03月19日 09:00,长沙市开福区教育街66号,长沙市芙蓉中路二段144号城市之心7楼718室,郝芬 ,刘莎 ,073184487035,0731-82204733 
2020年03月20日 09:00,衡阳市公共资源交易中心二楼第二开标室,南华大学公共卫生学院公共卫生与预防医学创新团队一流学科建设项目,湘财采计[2020]000062号,陈伟华,0734-2880658,公开招标,"1,723,000元",请在衡阳市公共资源交易网注册并报名，须在报名截止时间前报名确认并成功下载招标文件（以投标截止时间止衡阳市公共资源交易网查询显示的下载文件单位为准），否则，视同报名不成功，其投标无效。,衡阳市常胜西路28号,衡阳市华新区解放大道17号中信大厦705室,陈老师  杨老师 ,陈伟华 王莉 ,0734-8281905,07342880658 
2020年03月17日 09:00,湖南省公共资源交易中心,教材,湘财采计[2019]013075号,黄龙,28400338,公开招标,2551680.9元,2020年03月17日 09:00,湖南省株洲市云龙示范区职教大学城明礼路208号,长沙市雨花区万家丽路二段29号,黄龙 ,李春林,28400338 ,89665210 
2020年03月16日 09:00,湖南省公共资源交易中心,2020-2021年物业招标,湘财采计[2020]000036号,邓良才,073184028601,公开招标,10718667元,2020年03月16日 09:00,长沙市星沙特立路5号,长沙市雨花区万家丽路二段29号,邓良才 ,李春林,073184028601 ,89665210 
2020年03月12日 10:00,怀化市公共资源交易中心相应标室,湖南医药学院智慧校园一期建设安防项目,湘财采计[2020]017388号,易慧娟,0745-2211940,公开招标,"2,321,685元",2020年03月12日 10:00,怀化市锦溪南路492号,长沙市开福区芙蓉北路街道金泰路199号湘江世纪城富湾国际5栋802房,沈磊 ,刘纪程 ,2385117,18692249866 
2020年02月24日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）,湖南省农业农村厅资金项目监管平台建设项目（第二次）,湘财采计[2019]013259号,刘莎,0731-82204733,公开招标,"6,800,000元",2020年02月24日 10:00,长沙市开福区教育街66号,长沙市芙蓉中路二段144号城市之心7楼718室,郝芬 ,刘莎    ,073184487035,0731-82204733 
2020年02月13日 09:30,郴州市市民服务中心4楼市公共资源交易中心第 2 开标室,郴州市中级人民法院审判法庭扩建工程（一期）中央空调多联机主机（第二次）,湘财采计[2020]000048号,陈女士 黄女士,18107355388,公开招标,"2,212,935.31元",2020年02月13日 09:30,郴州市北湖区五岭大道31号,燕泉路鑫沙苑2栋一单元202-203室,何主任 ,陈女士 黄女士 ,0735-2178837,18107355388 
2020年02月18日 10:00,长沙市雨花区万家丽路二段29号湖南省价格信息市场（湖南省公共资源交易中心）开标室公开开标（具体开标室见一楼大厅指示）,湖南省省控空气自动站视频监控管理平台采购项目,湘财采计[2020]000022号,莫尧典,0731-85177561,公开招标,"2,480,000元",2020年02月18日 10:00,长沙市万家丽路3段118号,湖南省长沙市蔡锷南路天辰腾达商务大厦,荣兴 ,莫尧典  薛  浩 ,0731-82592358,0731-85177561   zcb7503@126.com  
2020年02月12日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号)9开标室,张家界市中级人民法院诉讼服务中心信息化建设,湘财采计[2019]017360号,冉光玲、王璜,0731-82293870,公开招标,"1,281,820元",2020年02月12日 10:00,张家界市永定区西溪坪永定大道,长沙市雨花区迎新路御溪国际3栋2440号,杨文胜 ,冉光玲、王璜 ,0744-8283891,0731-82293870 
2020年02月17日 09:00,湖南省公共资源交易中心（长沙市雨花区万家丽路二段29号，天际岭隧道南；开标室见大厅电子显示屏）,湖南省生态环境监测中心水站巡检及比对监测能力建设项目,湘财采计[2020]000051号,张敏,15116178899,公开招标,"4,268,100元",2020年02月17日 09:00,长沙市万家丽中路三段118号南栋617办公室,长沙市雨花区湘府东路二段108号水岸天际新寓1栋915-923室,荣兴 ,张敏 ,0731-82592358,15116178899 
2020年02月13日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,湖南工业大学科技学院云桌面二期,湘财采计[2020]000017号,李志强,13875898698,公开招标,"1,585,495元",2020年02月13日 10:00,株洲市天元区泰山西路88号,长沙市芙蓉区晚报大道267号晚报大厦19楼1901-1905室,曹格瑞 ,李志强、朱玄、汪冶 ,0731-22183169,0731-85573555 
2020年02月12日 10:00,湖南省公共资源交易中心指定开标室（长沙市万家丽南路二段29号）,湖南省消防救援总队2019年机动支队装备采购项目（第二次）,湘财采计[2019]015182号,吴晗,0731-84452269,公开招标,"2,492,900元",2020年02月12日 10:00,湖南省长沙市岳麓区枫林三路151号,长沙市芙蓉中路一段479号建鸿达现代城1707室,喻海洋 ,吴晗、祝婷、康艳 ,0731-88119731,0731-84452269 
2020年02月12日 09:00,湖南省公共资源交易中心指定开标室（长沙市万家丽南路二段29号）,湖南省消防救援总队2019年灭火救援装备采购项目（第二次）,湘财采计[2019]015180号,吴晗,0731-84452269,公开招标,"2,160,000元",2020年02月12日 09:00,湖南省长沙市岳麓区枫林三路151号,长沙市开福区芙蓉中路一段479号建鸿达现代城1707室,喻海洋 ,吴晗、胡洋、康艳   ,0731-88119731,0731-84452269 
2020年02月12日 09:00,湖南省公共资源交易中心指定开标室（长沙市万家丽南路二段29号）,经管综合楼实验室建设项目（第二期）软件部分,湘财采计[2020]000006号,段得前、吴颖、康艳,0731-84452269,公开招标,"6,263,180元",2020年02月12日 09:00,长沙岳麓大道569号,长沙市开福区芙蓉中路一段479号（建鸿达现代城1707室）,王老师、边老师 ,段得前、吴颖、康艳  ,0731-88688224,0731-8452269 
2020年02月18日 10:00,湖南省公共资源交易中心（长沙市雨花区万家丽南路二段29号湖南省价格市场大楼），具体以大厅指示牌为准。,湖南师范大学政府采购公开招标第一批（精密空调，学工平台，网络安全设备）,湘财采计[2020]000034号,王颂飞,0731-85213733,公开招标,"2,700,000元",2020年02月18日 10:00,湖南省长沙市岳麓区麓山路36号,湖南省长沙市岳麓区咸嘉湖街道岳麓大道355号西城龙庭1-4栋商铺1001号,采购人肖华 ,王颂飞 ,073188872366,0731-85213733 
2020年02月20日 09:00,湖南省公共资源交易中心，长沙市雨花区万家丽路二段29号，（具体开标室，详见当天电子显示屏）,湖南师范大学政府采购公开招标第二批（化工院废气排放口改造）,湘财采计[2020]000035号,王莎莎,15874810491,公开招标,"850,000元",2020年02月20日 09:00,长沙市岳麓区麓山路36号,长沙市雨花区万家丽中路一段469号华雅财富大厦9楼906室,肖老师 ,王莎莎、谭晶晶、张志鹏 ,073188872366,0731-82255989 
2020年02月10日 10:00,湖南省公共资源交易中心（长沙市雨花区万家丽路二段29号，天际岭隧道南），具体标室请看当天显示屏,湖南税务信息系统“入云”建设(2),湘财采计[2019]013044号,李志强,13875898698,公开招标,"5,914,400元",2020年02月10日 10:00,长沙市五一大道351号省政府机关2院,长沙市芙蓉区晚报大道267号晚报大厦19楼1901-1905室,周婧 ,朱玄、李志强、汪冶 ,0731-82212160,0731-85018855 
2020年02月19日 09:00,衡阳市公共资源交易中心6号开标室,南华大学新校区环湖景观补种工程服务,湘财采计[2020]000033号,何丹,07348217116,公开招标,"942,131.25元",2020年02月19日 09:00,衡阳市常胜西路28号,衡阳市高新开发区青峰街12号华新花园二期203,陈老师 王老师  ,何丹 ,0734-8281905,0734-8217116 
2020年02月18日 09:00,湖南省公共资源交易中心[湖南省价格市场大楼，长沙市雨花区万家丽南路二段29号],湖南理工学院2020-2023年安全服务项目,湘财采计[2020]000003号,石瑛,0730-8201199,公开招标,"8,568,000元",2020年02月18日 09:00,岳阳市学院路,岳阳市岳阳楼区花板桥路第一世家1102号房,曾老师 ,石瑛 ,0730-8640039,0730-8201199、18673001077 
2020年02月24日 10:00,湖南省公共资源交易中心（长沙市雨花区万家丽路二段29号，天际岭隧道南），具体标室请看当天显示屏,湖南工业大学2019年度包材急需材料类设备一批,湘财采计[2019]016079号,蔡伟,0731-82587018,公开招标,"839,300元",2020年02月24日 10:00,株洲市天元区泰山西路88号,湖南省长沙市芙蓉区解放中路18号华侨大厦19楼,肖钦 ,蔡伟 ,0731-22183171,0731-82587018  
2020年02月18日 10:00,湖南省公共资源交易中心指定开标室（长沙市万家丽南路二段29号）,智慧教室建设,湘财采计[2019]016825号,吴晗,0731-84452269,公开招标,"1,145,000元",2020年02月18日 10:00,湖南省长沙市芙蓉区隆平高科技园,长沙市开福区芙蓉中路一段479号（建鸿达现代城1701室）,周功 ,吴晗、祝婷、康艳 ,18867418941,0731-84452269 
2020年02月07日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室，详见当天电子显示屏。,湖南省尾矿库环境基础信息采集项目,湘财采计[2019]016197号,何芳,15874159869,公开招标,"2,960,000元",2020年02月07日 10:00,长沙市雨花区井湾路889号,长沙高新开发区麓谷大道627号麓谷新长海中心A1栋1102号,袁  浩 ,何芳、高峰、任远 ,0731-85076418,15874159869 
2020年02月11日 09:00,湖南省公共资源交易中心（长沙市万家丽南路2段29号[湖南省价格信息市场，万家丽南路与黄谷路交汇处东南角，长沙雨花经济开发区管理委员会（湖南省环保科技产业园管委会）正对面]），具体详见一楼大厅指示牌。,怀化铁路运输检察院信息化建设项目,湘财采计[2019]017297号,邓运娥,13207479027,公开招标,"9,849,150.32元",2020年02月11日 09:00,怀化市鹤城区怀北路447号,湖南省长沙市东二环一段1139号湖南国际商务中心五楼507室,吴志清 ,邓运娥、吴安利 、倪芳芳 ,07452183788,0731-28632095 
2020年02月13日 09:00,湖南省公共资源交易中心，长沙市雨花区万家丽路二段29号，（具体开标室，详见当天电子显示屏）,湖南省消防救援总队2019年度国产消防车采购项目一第二次（第6包和第11包）,湘财采计[2019]014403号,邓强,15874810491,公开招标,"5,400,000元",2020年02月13日 09:00,湖南省长沙市岳麓区枫林三路151号,长沙市雨花区万家丽中路一段469号华雅财富大厦9楼906室,刘可兵 ,王莎莎、谭晶晶、张志鹏 ,0731-88119732,15874810491、 0731-82255989 
2020年02月07日 09:00,湖南省公共资源交易中心,物业托管服务,湘财采计[2020]017378号,卢老师,84083628,公开招标,1348000元,2020年02月07日 09:00,湖南省长沙县经开区新安路22号,长沙市雨花区万家丽路二段29号,卢老师 ,欧益清,84083628 ,89665210 
2020年02月10日 10:00,衡阳市公共资源交易中心6号开标室,南华大学新校区基础教学楼区域绿化景观工程服务项目,湘财采计[2020]000008号,张建怀,0734-8439857,公开招标,"3,811,765.33元",供应商必须登录衡阳市公共资源交易网，须在报名截止时间前报名确认并成功下载招标文件（以投标截止时间止衡阳市公共资源交易网查询显示的下载文件单位为准），否则，视同报名不成功，其投标无效。,湖南省衡阳市蒸湘区常胜西路28号,衡阳市华新开发区中信大厦1904房,陈老师 杨老师 ,张建怀 ,0734-8281905,0734-8439857 
2020年02月10日 09:00,衡阳市公共资源交易中心6号开标室,南华大学新校区入口区域绿化景观工程服务项目,湘财采计[2020]000009号,何丹,0734-8217116,公开招标,"17,068,677.04元",2020年02月10日 09:00,衡阳市常胜西路28号,衡阳市高新开发区青峰街12号华新花园二期203,陈老师  王老师  ,何丹 ,0734-8281905,0734-8217116  
2020年02月11日 10:00,湖南省公共资源交易中心（长沙市雨花区万家丽路二段29号，天际岭隧道南），具体标室请看当天显示屏,湘南稀贵金属化合物及其应用湖南省重点实验室科研仪器设备采购,湘财采计[2019]017348号,廖冰冰,18670511388,公开招标,"4,820,000元",2020年02月11日 10:00,郴州市苏仙区王仙岭,长沙市雨花区万家丽中路一段469号华雅财富大厦9楼906室,陈宣吟 ,廖冰冰、王莎莎 ,0735-2653222,18670511388 
2020年02月10日 09:00,湖南省公共资源交易中心（长沙市雨花区万家丽路二段29号，天际岭隧道南；开标室见大厅电子显示屏）,水质自动监测站流量在线监控设备采购项目,湘财采计[2020]000019号,张敏,15116178899,公开招标,"6,000,000元",2020年02月10日 09:00,长沙市万家丽中路三段118号南栋617办公室,长沙市雨花区湘府东路二段108号水岸天际新寓1栋915-923室,荣兴 ,张敏 ,0731-82592358,15116178899 
2020年02月11日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,航空制造与维修技术技能人才培养公共实训基地项目电力增容工程,湘财采计[2019]015588号,李伟,0731-84530088,公开招标,"3,984,203.63元",2020年02月11日 09:00,长沙市雨花区跳马镇田心桥,长沙市湘府东路二段199号招标大厦,左老师 ,李伟  谭娜 ,85473645,84530088/84530333 
2020年02月18日 09:00,湖南省公共资源交易中心,2020年中文纸本图书采购,湘财采计[2019]014054号,采购人,07308640039,公开招标,1600000元,2020年02月18日 09:00,湖南岳阳理工学院,长沙市雨花区万家丽路二段29号,采购人 ,李春林,07308640039 ,89665210 
2020年02月19日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室,大负载竖向振动液压加载系统,湘财采计[2020]000013号,陈紫璇,0731-84169657,公开招标,"3,540,000元",2020年02月19日 10:00,湖南省湘潭市桃园路,长沙市雨花区湘府中路117号高升金典商务楼房12层,胡老师 ,陈紫璇、聂艳君 ,0731-58290210,0731-84169657 
